,,資料更新時間：2019/10/25 17:05,Android同步時間：2019/8/13,iOS同步時間：2019/10/25,幫忙備註：iOS字串表在1.1.1(20191004)版有更新使用,,,,,,,"思穎建議量少可以找QA～目前裡面有人可以翻日(昱葶)、越南。英文可以請營運處-林業期 <ye-ci.lin@wanin.tw>幫忙
英文、日文量多的話 跟培薇打個招呼，可以麻煩投資事業部投資事業部-李佩玟"" <estella.li@wanin.tw>幫忙",,,,
,編號,說明,參數,中文(代碼：1),簡中(代碼：2),英文(代碼：3),日文(代碼：4),越南版(代碼：5),,,,2019/07條款跟補充字串是找營運俊宏協助。,,,,
N,,全新登入時的問句,goStartAlertContent,已經選定”%1$s”的「%2$s」，\n是否要以此帳號進入全新的遊戲？,已经选定”%1$s”的「%2$s」，\n是否要以此帐号进入全新的游戏？,"You have chosen the %1$s's「%2$s」,\nAre you sure login the whole new game with this account?",「%1$s」の「%2$s」を選択しましたが、\nこのアカウントで新しいゲームにログインしますか？,Bạn đã chọn「%2$s」của %1$s . \nBạn muốn dùng tài khoản này để đăng nhập tất cả các phòng game mới ?,,需要調整翻譯,A＝帳號,,,,,zh-cn
/N,,發驗證碼後的小視窗內容,VerificationCodeContent,已透過簡訊將驗證碼傳送到手機：\n%1$s,已透过简讯将验证码传送到手机：\n%1$s,We have sent the security code to your phone \n%1$s.,認証コードをスマホに送りました。認証コード:\n%1$s,Mã xác nhận đã được gửi đến điện thoại của bạn: \n%1$s,,有夾帶變數的字串，要注意測試,B＝綁定驗證,,,,,zh-tw
,,驗證失敗或關掉驗證視窗後，要再度驗證時的訊息,VerificationCodeReciprocal, %1$s秒 後可重新驗證, %1$s秒 后可重新验证,Hold on %1$s seconds and continue verificating.,%1$s秒 後再認証してください,Sau %1$s giây có thể xác nhận lại,,缺少,D＝裝置,,,,,
,,已使用過門號登入後，要綁定其他帳號時出現的問句,BindingPhoneNumberContent,是否直接綁定門號：\n%1$s\n（取消可進行其他門號綁定）,是否直接绑定门号：\n%1$s\n（取消可进行其他门号绑定）,Would you like to bind it with your phone number : \n%1$s\n (Select cancel to switch another phone number.),携帯番号と連携しますか：\n%1$s\n（「取消」を選ぶと別の携帯番号との連携も出来ます）,Muốn trực tiếp liên kết số điện thoại này: \n%1$s\n((Lựa chọn hủy bỏ có thể tiến hành liên kết với số điện thoại khác),,,L＝登入,,,,,
重覆,,驗證失敗或關掉驗證視窗後，要再度驗證時的訊息,WaitTimeOver,請於 %1$s 秒後再進行操作。,请于 %1$s 秒后再进行操作。,Hold on %1$s seconds to login again.,%1$s秒後に操作してください,Mời tiến hành thêm thao tác sau %1$s giây nữa,,,,,,,,
,,,,,,,,,,,,,,,,
,1,所有alert_按鈕,Cancel,取消,取消,Cancel,キャンセル,Hủy bỏ,,,,,,,,
,2,所有alert_按鈕,Confirm,確認,确认,Confirm,確認する,Xác nhận,,,,,,,,
,3,所有alert_按鈕,Yes,是,是,Yes,はい,Đồng ý,立即玩加跳alert版本時新增,,,,,,,
,4,所有alert_按鈕,No,否,否,No,いいえ,Hủy,立即玩加跳alert版本時新增,,,,,,,
N,5,所有alert_按鈕,Modify,變更,变更,Modify,変更します,Thay đổi,2.0改版後新增,,,,,,,
,,,,,,,,,,,,,,,,
,L1,登入頁_標題,SelectLogin,選擇登入方式,选择登入方式,Login,ログイン方法を選びます,Phương thức đăng nhập,,,,,,,,
,L2,登入頁_按鈕,PlayNow,立即玩,立即玩,Guest,ゲスト登録,Chơi ngay,,,,,,,,
,L3,"登入頁_按鈕
輸入手機號碼頁_輸入小標題",PhoneNumber,手機門號,手机门号,Phone number,携帯番号,Số điện thoại di động,,,,,,,,
,L4,登入頁_按鈕,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,,,,,,,,
,L5,登入頁_按鈕,Google,Google,Google,Google,Google,Google,,,,,,,,
,L6,登入頁_按鈕,Twitter,Twitter,Twitter,Twitter,Twitter,Twitter,,,,,,,,
,L7,登入頁_按鈕,GameCenter,Game Center,Game Center,Game Center,Game Center,Game Center,,,,,,,,
N先預留用,L10,登入頁_按鈕,Apple,Apple,Apple,Apple,Apple,Apple,,,,,,,,
N,L11,登入方式_狀態標題,PlayNowState,立即玩登入,立即玩登入,Play Now Login,ゲスト登録,Đăng nhập chơi ngay,,,,,,,,
N,L12,登入方式_狀態標題,PhoneNumberState,手機門號登入,手机门号登入,Phone Login,携帯番号登録,Đăng nhập số điện thoại,,,,,,,,
N,L13,登入方式_狀態標題,FacebookState,Facebook登入,Facebook登入,Facebook Login,Facebook登録,Đăng nhập Facebook,,,,,,,,
N,L14,登入方式_狀態標題,GoogleState,Google登入,Google登入,Google Login,Google登録,Đăng nhập Google,,,,,,,,
N,L15,登入方式_狀態標題,TwitterState,Twitter登入,Twitter登入,Twitter Login,Twitter登録,Đăng nhập Twitter,,,,,,,,
N,L16,登入方式_狀態標題,GameCenterState,Game Center登入,Game Center登入,Game Center Login,Game Center登録,Đăng nhập Game Center,,,,,,,,
N先預留用,L19,登入方式_狀態標題,AppleState,Apple登入,Apple登入,Apple Login,Apple登入,Đăng nhập Apple,,,,,,,,
N,L21,登入頁_您已同意使用,agreedTo,我已詳閱並同意使用條款、隱私權政策,我已详阅并同意使用条款、隐私权政策,I've already read and agreed with Terms of use and the Privacy Policy.,利用規約、プライバシーポリシー について同意しました。,"Tôi đã đọc và đồng ý với Điều khoản sử dụng , Chính sách quyền riêng tư",2.0改版後新增,,,,,,,
N,L22,登入頁_使用條款,TermsOfUse,使用條款,使用条款,Terms of use,利用規約,Điều khoản sử dụng,2.0改版後新增,,,,,,,
/N,L23,登入頁_隱私權條款,PrivacyPolicy,隱私權政策,隐私权政策,the Privacy Policy,プライバシーポリシー,Chính sách quyền riêng tư,,,,,,,,
N,L26,登入頁_使用者協定更新_按鈕,agreedToNewTerms,我同意新條款,我同意新条款,I agree with the new terms.,改定後の内容に同意する,Tôi đồng ý điều khoản mới,2.0改版後新增,,,,,,,
N,L27,登入頁_使用者協定更新_按鈕,disagreeToNewTerms,不同意,不同意,disagree,同意しない,Không đồng ý,2.0改版後新增,,,,,,,
,L28,登入頁_使用者協定不同意alert_標題,agreeToTermsTitle,請同意條款,请同意条款,Please agree with the new terms.,同意求め,Vui lòng đồng ý điều khoản,2.0改版後新增,,,,,,,
N,L29,登入頁_使用者協定不同意alert_按鈕,GotIt,知道了,知道了,Got It,了解,Biết rồi,2.0改版後新增,,,,,,,
N,L30,登入頁_使用者協定不同意alert_內容,disagreeToTermsContent,很遺憾，未勾選同意遵守服務條款將無法使用Oinkey提供的服務！\n請您詳閱並同意服務條款。,很遗憾，未勾选同意遵守服务条款将无法使用Oinkey提供的服务！ \n请您详阅并同意服务条款。,"We are terribly sorry to notice you, if you don't agree with our Terms of Use, then we can't provide Oinkey services to you!
Please read and agree with the Terms of Use.","続けるには内容をお読みの上、同意いただく必要があります。
","Rất lấy làm tiếc , chưa chọn đồng ý điều khoản dịch vụ nên không thể sử dụng các dịch vụ do Oinkey cung cấp !  Mời bạn đọc và đồng ý điều khoản dịch vụ",2.0改版後新增,,,,,,,
,L33,登入頁_立即玩提示alert_ 標題,PlayNowFristNoticeTitle,將以訪客身份進入,将以访客身份进入,You will login with Guest.,ゲスト登録にします,Đăng nhập với tư cách khách tham quan. ,立即玩加跳alert版本時新增,,,,,,,
,L31,登入頁_立即玩提示alert_內容,PlayNowFristNoticeContent,提醒您，”立即玩”在手機若是遺失或毀損的情況下將無法取回帳號！\n強烈建議之後使用”綁定門號”以確保資料維護安全。\n\n是否使用”立即玩”登入？,提醒您，”立即玩”在手机若是遗失或毁损的情况下将无法取回帐号！ \n强烈建议之后使用”绑定门号”以确保资料维护安全。 \n\n是否使用”立即玩”登入？,"Warning\n When the device is lost or be damaged, the ""Guest"" account will NOT be recovered!\n Suggest you bind the account with your phone number, to ensure your data's safety.\n\n 
Are you sure to login with the ""Guest""?",ゲスト登録で携帯が紛失や壊れた場合にはアカウントを取り戻すことができなくなります。\nセキュリティのため、「携帯番号」への連携をお勧めします。\n\nゲスト登録にしますか？,"Nhắc nhở bạn, chọn cổng "" lập tức chơi"" trên điện thoại nếu trong trường hợp có mất mát hoặc tổn thất thì không lấy lại được tài khoản!\nKhuyến khích về sau sử dụng chọn cổng ""tài khoản cố định"" để được đảm bảo an toàn thông tin.\n\nCó chắc chắn muốn đăng nhập "" lập tức chơi""?",立即玩加跳alert版本時新增,,,,,,,
,,,,,,,,,,,,,,,,
,A1,帳號詳細頁_登入狀態,CanLogin,可登入,可登入,Loginable,ログイン可能,Có thể đăng nhập,,,,,,,,
,A3,帳號詳細頁_登入狀態_正在玩星城,SigningIn,登入中,登入中,on line,ログイン中,Đang đăng nhập,,,,,,,,
,A4,"帳號列表頁_小標題 
帳號詳細頁_小標題",LastLoginDate,上次登入,上次登入,Last login time,前回の登録,Đăng nhập lần trước,,,,,,,,
,A5,"帳號列表頁_小標題 
裝置管理頁_小標題",LastLoginGame,上次登入遊戲,上次登入游戏,Last login game,前回ログインゲーム,Trò chơi đăng nhập lần trước,,,,,,,,
,A6,帳號列表頁_沒玩過的其它帳號_標題,otherTitle,其它,其它,Other,他には,Khác,2.0改版後新增,,,,,,,
,A7,帳號列表頁_開始玩_按鈕,goPlay,進入,进入,Play,プレイ,Đăng nhập,2.0改版後新增,,,,,,,
N,A8,帳號列表頁_用其它的帳號開始玩_按鈕,goStart,全新開始,全新开始,Start ,スタート,Bắt đầu,2.0改版後新增,,,,,,,
N,A9,帳號列表頁_全新開始提示alert_標題,NewGameTitle,準備開始新遊戲,准备开始新游戏,Ready For New Game,新しいゲーム開始,Chuẩn bị bắt đầu trò chơi mới,2.0改版後新增,,,,,,,
